,title,authors,paper
0,Passenger trip delays in the U.S. Airline Transportation System in 2007,"Guillermo Calderon-Meza, Lance Sherry,George Donohue",/icrat/seminarContent/2008/PASSENGER_TRIP_DELAYS.pdf
1,Constructing a Passenger Trip Delay Metric,"Shin-Lai Tien, Michael Ball",/icrat/seminarContent/2008/Constructing_a_Passenger_Trip_Delay_Metric.pdf
2,Filtering and Aggregation Schemes for Delay Model  Calibration,"Andrew M. Churchill, Kleoniki Vlachou and David J. Lovell",/icrat/seminarContent/2008/Filtering_Aggregation_Schemes.pdf
3,Impact of Ground Delay Program (GDP)  Rationing Rules on Passenger and Airline Equity,Bengi Manley and Lance Sherry,/icrat/seminarContent/2008/Impact_of_Ground_Delay_Program.pdf
4,Passenger Flow Simulation In A Complex Networked  Transportation System,"Danyi Wang, Lance Sherry, George Donohue and Bert Hackney",/icrat/seminarContent/2008/Passenger_Flow_Simulation.pdf
5,Modeling Stochastic Evolution of Runway Capacity  using Data Mining Concepts,Yoonjin Yoon and Mark Hansen,/icrat/seminarContent/2008/Modeling_Stochastic_Evolution.pdf
6,Deconstructing Delay:  A Case Study of Demand and Throughput at the New York Airports,Amy Kim and Mark Hansen,/icrat/seminarContent/2008/Case_Study_of_Demand_and_Throughput.pdf
7,Propagation of Airspace Congestion:  An Exploratory Correlation Analysis,"Claus Gwiggner, Kota Kageyama and Sakae Nagaoka",/icrat/seminarContent/2008/Propagation_of_Airspace_Congestion.pdf
8,Smoothed traffic complexity metrics for  airspace configuration schedules,David Gianazza,/icrat/seminarContent/2008/Smoothed_traffic_complexity_metrics.pdf
9,Network Restructuring Models for Improved ATS  Forecasts,"Daniel A. DeLaurentis, Tatsuya Kotegawa and Aaron Sengstacken",/icrat/seminarContent/2008/Network_Restructuring_Models.pdf
10,Resource Allocation in Flow-Constrained Areas with  Stochastic Termination Times,"Andrew M. Churchill, Kleoniki Vlachou and David J. Lovell",/icrat/seminarContent/2008/Resource_Allocation_in_Flow-Constrained_Areas.pdf
11,Trajectory Prediction : a Functional Regression  Approach,"S. Puechmorel, D. Delahaye and L. Boussouf",/icrat/seminarContent/2008/Trajectory_Prediction.pdf
12,The robust flight level assignment problem,Olivier Klopfenstein and Dritan Nace,/icrat/seminarContent/2008/robust_flight_level_assignment.pdf
13,Stochastic Airspace Demand for Strategic Traffic  Flow Management,Jeff Henderson and Antonio Trani,/icrat/seminarContent/2008/Stochastic_Airspace_Demand.pdf
14,Modeling the Operational Impact of  Air Traffic Control Automation  Tools,"Megan Smirti, Mark Hansen and Xing Chen",/icrat/seminarContent/2008/MODELING_OPERATIONAL_IMPACT.pdf
15,Filtering and Aggregation Schemes for Delay Model  Calibration,"Andrew M. Churchill, Kleoniki Vlachou and David J. Lovell",/icrat/seminarContent/2008/Filtering_Aggregation_Schemes.pdf
16,Limitations of Subliminal Control in Air Traffic  Management,Georgios Chaloulos and John Lygeros,/icrat/seminarContent/2008/Limitations_of_Subliminal_Control.pdf
17,Distribution of Longitudinal Speed Prediction Error  of ADS-C System,Masato Fujita,/icrat/seminarContent/2008/Distribution_of_Longitudinal_Speed.pdf
18,Three-Degree Decelerating  Approaches in Arrival Streams,"Arjen de Leege, Max Mulder, Alexander in't Veld and Rene van Paassen",/icrat/seminarContent/2008/Three-Degree_Decelerating_Approaches.pdf
19,Separation Minima Standards:  Research of Current Applicable Minima Laid Down and Foundations,Daniel Mosquera Benitez and Gustavo Cuevas Angulo,/icrat/seminarContent/2008/Separation_Minima_Standards.pdf
20,A Review of the Research on Risk and Safety  Modelling in Civil Aviation,Fedja Netjasov and Milan Janic,/icrat/seminarContent/2008/Review_of_the_Research.pdf
21,Accident Risk Analysis Benchmarking  Monte Carlo Simulation versus Event Sequences,"Henk A.P. Blom, Sybert H. Stroeve, Jelmer J. Scholte and Hans H. de Jong",/icrat/seminarContent/2008/Accident_Risk_Analysis.pdf
22,Analyzing Relationships Between Aircraft Accidents  and Incidents,"Zohreh Nazer, George Donohue and Lance Sherry",/icrat/seminarContent/2008/Analyzing_Relationships_Between_Aircraft_Accidents.pdf
23,ATC Complexity as Workload and Safety Driver,"Jelena Djokic, Bernd Lorenz and Hartmut Fricke",/icrat/seminarContent/2008/ATC_Complexity.pdf
24,Assessment of local aircraft crash risk,Christoph Thiel and Hartmut Fricke,/icrat/seminarContent/2008/local_aircraft_crash_risk.pdf
25,Hybrid System Framework for the Safety Modelling  of the In Trail Procedure,Marco Colageo and Antonio Di Francesco,/icrat/seminarContent/2008/Hybrid_System_Framework.pdf
26,"Proactive, Reactive, and Interactive Risk Assessment  and Management of URET Implementation in Air  Route Traffic Control Centers","Grace Uang, Jasenka Rakas and Tatjana Bolic",/icrat/seminarContent/2008/Proactive_Reactive_and_Interactive_Risk_Assessment.pdf
27,"Decision Support Tool for Predicting Aircraft  Arrival Rates, Ground Delay Programs, and Airport  Delays from Weather Forecasts",David A. Smith and Lance Sherry,/icrat/seminarContent/2008/Decision_Support_Tool.pdf
28,Pilot Support for Flying Curved Decelerating  Approaches in Realistic Wind Conditions,"Alexander in t Veld, Rob Groenouwe, Max Mulder and Rene van Paassen",/icrat/seminarContent/2008/Pilot_Support_for_Flying.pdf
29,Developing a decision-support-tool for  an air taxi service,Peter A. Sengers and Stefaan S.A.Ghijs,/icrat/seminarContent/2008/Developing_a_decision-support-tool.pdf
