,title,authors,paper
0,A3 Concept of Operations Overview,Petr Casek,/icrat/seminarContent/2010/A3_Concept_of_Operations_overview.pdf
1,Airborne self separation in air transportation,Maria Prandini,/icrat/seminarContent/2010/Airborne_self_separation_in_air_transportation.pdf
2,Overview Airborne Separation Assurance: Issues and research questions,TUDelft,/icrat/seminarContent/2010/Airborne_Separation_Assurance.pdf
3,Airspace Integration Alternatives for Unmanned Aircraft,"Andrew Lacher, Andrew Zeitlin, David Maroney, Kelly Markin, Duane Ludwig, and Joe Boyd",/icrat/seminarContent/2010/Airspace_Integration_Alternatives_for_Unmanned_Aircraft.pdf
4,Concept for System Wide Trajectory Based Operations w/ Self-Separation,William B Cotton and David Wing,/icrat/seminarContent/2010/Concept_for_System_Wide_Trajectory_Based_Operations.pdf
5,Conflict resolution in  autonomous aircraft operations,John Lygeros,/icrat/seminarContent/2010/Conflict_resolution_in_autonomous_aircraft_operations.pdf
6,European Operational Concept  Validation Methodology,EUROCONTROL,/icrat/seminarContent/2010/European_Operational_Concept_Validation_Methodology.pdf
7,Flight-deck Technology for Trajectory-Based Self-Separation Overview,Frank Bussink and David Wing,/icrat/seminarContent/2010/Flight-deck_Technology.pdf
8,Mid term conflict resolution: A  Model Predictive Control  Approach,Andrew Lacher,/icrat/seminarContent/2010/Mid_term_conflict_resolution.pdf
9,Tutorial Session on Airborne Self Separation in Air Transportation,European Commission project iFly,/icrat/seminarContent/2010/Self_Separation_Tutorial.pdf
10,Short term conflict resolution: A navigation function approach,Giannis Roussos,/icrat/seminarContent/2010/Short _term_conflict_resolution.pdf
11,Simulated collision risk of  uncoordinated airborne self separation,Henk Blom,/icrat/seminarContent/2010/Simulated_collision_risk.pdf
12,Unmanned Aircraft Systems (UAS):  Challenges and Opportunities  in Civil Airspace,Andrew Lacher,/icrat/seminarContent/2010/UAS_Challenges_and_Opportunities_in_Civil_Airspace.pdf
