,title,authors,paper,presentation,best,theme
0,Assessment of the feasible CTA windows for efficient spacing with energy–neutral CDO, Ramon Dalmau and Xavier Prats,../seminarContent/2016/papers/9/ICRAT_2016_paper_9.pdf,../seminarContent/2016/presentations/9/ICRAT_2016_Presentation_file_9.pdf,,Trajectory Optimization
1,"Effects of speed reduction in climb, cruise and descent phases to generate linear holding at no extra fuel cost"," Yan Xu, Ramon Dalmau and Xavier Prats ",../seminarContent/2016/papers/44/ICRAT_2016_paper_44.pdf,../seminarContent/2016/presentations/44/ICRAT_2016_Presentation_file_44.pdf,,Trajectory Optimization
2,Potential Operational Benefits of Multi-layer Point Merge System on Dense TMA Operation," Man Liang, Daniel Delahaye and Pierre Marechal  ",../seminarContent/2016/papers/12/ICRAT_2016_paper_12.pdf,../seminarContent/2016/presentations/12/ICRAT_2016_Presentation_file_12.pdf,,Trajectory Optimization
3,Modelling Flexible Thrust Performance for Trajectory Prediction Applications in ATM," Ismael Matamoros, Xavier Prats, Javier López Leonés, Enrique Casado, Miguel Vilaplana, Vincent Mouillet, Angela Nuic, and Laurent Cavadini  ",../seminarContent/2016/papers/41/ICRAT_2016_paper_41.pdf,../seminarContent/2016/presentations/41/ICRAT_2016_Presentation_file_41.pdf,,Trajectory Optimization
4,Generating Arrival Routes with Radius–to–Fix Functionalities, Valentin Polishchuk  ,../seminarContent/2016/papers/43/ICRAT_2016_paper_43.pdf,../seminarContent/2016/presentations/43/ICRAT_2016_Presentation_file_43.pdf,,Trajectory Optimization
5,ATM Performance analysis in Madrid ACC sectors considering optimal aircraft trajectories, Guillermo Orenga and Manuel Soler ,../seminarContent/2016/papers/34/ICRAT_2016_paper_34.pdf,../seminarContent/2016/presentations/34/ICRAT_2016_Presentation_file_34.pdf,,Trajectory Optimization
6,Phase changes in delay propagation networks, Seddik Belkoura and Massimiliano Zanin ,../seminarContent/2016/papers/26/ICRAT_2016_paper_26.pdf,../seminarContent/2016/presentations/26/ICRAT_2016_Presentation_file_26.pdf,,Advanced Modeling
7,Nonlinear Dynamics Approach for Modeling of Air Traffic Performance Disruption and Recovery," Norbert Fürstenau, Monika Mittendorf and Shumpei Kamo ",../seminarContent/2016/papers/4/ICRAT_2016_paper_4.pdf,../seminarContent/2016/presentations/4/ICRAT_2016_Presentation_file_4.pdf,,Advanced Modeling
8,Utilizing schedule buffers to reduce propagated delay: A new approach for tactical Air Traffic Flow Management slot allocation," Nikola Ivanov, Fedja Netjasov and Radosav Jovanovic ",../seminarContent/2016/papers/13/ICRAT_2016_paper_13.pdf,../seminarContent/2016/presentations/13/ICRAT_2016_Presentation_file_13.pptx,,Advanced Modeling
9,Uncertainty Limits for an Aircraft Based Runway Friction Assessment Method, Angela Campbell and Andrew Cheng ,../seminarContent/2016/papers/51/ICRAT_2016_paper_51.pdf,../seminarContent/2016/presentations/51/ICRAT_2016_Presentation_file_51.pptx,,Advanced Modeling
10,Large–Scale Flight Phase Identification from ADS–B Data Using Machine Learning Methods," Junzi Sun, Joost Ellerbroek and Jacco Hoekstra  ",../seminarContent/2016/papers/38/ICRAT_2016_paper_38.pdf,../seminarContent/2016/presentations/38/ICRAT_2016_Presentation_file_38.pdf,,Advanced Modeling
11,Modeling and Estimating Airspace Movements Using Air Traffic Control Transcription Data: A Data–Driven Approach, Max Li and Megan Ryerson   ,../seminarContent/2016/papers/54/ICRAT_2016_paper_54.pdf,../seminarContent/2016/presentations/54/ICRAT_2016_Presentation_file_54.pptx,,Advanced Modeling
12,Deconstructing Delay Dynamics: An air traffic network example," Karthik Gopalakrishnan, Hamsa Balakrishnan and Richard Jordan    ",../seminarContent/2016/papers/66/ICRAT_2016_paper_66.pdf,../seminarContent/2016/presentations/66/ICRAT_2016_Presentation_file_66.pdf,,System Performance
13,High performance computing simulator for the performance assessment of trajectory based operations," Leonardo Camargo Forero, Ramon Dalmau, Sergio Ruiz and Xavier Prats    ",../seminarContent/2016/papers/45/ICRAT_2016_paper_45.pdf,../seminarContent/2016/presentations/45/ICRAT_2016_Presentation_file_45.pdf,,System Performance
14,Performance Benchmarking in Interdependent ATM Systems: Integration of Analytical and Process Oriented Performance Benchmarking Schemes in Complex ATM Systems," Stefan Reitmann, Alexander Gillissen and Michael Schultz    ",../seminarContent/2016/papers/30/ICRAT_2016_paper_30.pdf,../seminarContent/2016/presentations/30/ICRAT_2016_Presentation_file_30.pdf,,System Performance
15,Phase of Flight and Rule of Flight Calculator," Charles Johnson, Adrian Rusu, Anthony Breitzman, John Bucknam and Nicholas Laposta    ",../seminarContent/2016/papers/70/ICRAT_2016_paper_70.pdf,../seminarContent/2016/presentations/70/ICRAT Presentation PoF & RoF Calculator_Rowan&FAA.pptx,,Complexity & Information
16,SAGA: Safety Analysis in General Aviation – Leveraging Digital Flight Data towards the Development of a Flight Performance Database Tool to improve General Aviation Safe," Josh Schimmel, Shawn Pruchnicki, Phil Smith and Seth Young    ",../seminarContent/2016/papers/50/ICRAT_2016_paper_50.pdf,../seminarContent/2016/presentations/50/ICRAT_2016_Presentation_file_50.pptx,,Complexity & Information
