order,title,authors,paper_id,paper,theme,best
1,The Impact of Mental Model Switching on Air Traffic Controller’s Workload in Multi Remote Tower Operations,"Lu Zhenna, Sameer Alam, & Nimrod Lilith; Billy Josefsson",5,/seminarContent/2022/papers/ICRAT2022_paper_5.pdf,Human Performance,
2,Rostering practices and ATCO productivity in Area Control Centres,"Goran Pavlović, Radosav Jovanović, Milan Stanojević",13,/seminarContent/2022/papers/ICRAT2022_paper_13.pdf,Human Performance,
3,The Influence of Rostering Factors on Fatigue in an Irregular Shift System in Air Traffic Control,Maximilian Peukert and Lothar Meyer,15,/seminarContent/2022/papers/ICRAT2022_paper_15.pdf,Human Performance,
4,Investigating Ocular and Head-Yaw Measures as Indicators for Workload and Fatigue under Varying Taskload Conditions,"Lothar Meyer, Maximilian Peukert; Tatiana Polishchuk, Christiane Schmidt",36,/seminarContent/2022/papers/ICRAT2022_paper_36.pdf,Human Performance,
5,Study of Different Task Loading and Cognitive Workload Changes Using Functional Near Infrared Spectroscopy,"Justin T. Serwinski, Jaime Kerr, Pratusha Reddy, Kurtulus Izzetoglu; Patricia A. Shewokis",52,/seminarContent/2022/papers/ICRAT2022_paper_52.pdf,Human Performance,
6,Probabilistic Analysis of Air Traffic in Adverse Weather Scenarios,"Eduardo Andrés, Javier García-Heras, Daniel González, Manuel Soler; Tomislav Radišić, Petar Andraši; Alfonso Valenzuela, Antonio Franco, Juan Nunez-Portillo, Damián Rivas",33,/seminarContent/2022/papers/ICRAT2022_paper_33.pdf,System Performance,
7,Designing Recurrent and Graph Neural Networks to Predict Airport and Air Traffic Network Delays,"Junzi Sun, Tristan Dijkstra, Constantinos Aristodemou, Vlad Buzetelu, Theo Falat, Tim Hogenelst, Niels Prins, Benjamin Slijper",37,/seminarContent/2022/papers/ICRAT2022_paper_37.pdf,System Performance,
8,Integrated Airside Landside Framework to Assess Passenger Missed Connections with Airport Departure Metering,"Hasnain Ali, Duc-Thinh Pham, Sameer Alam; Michael Schultz",41,/seminarContent/2022/papers/ICRAT2022_paper_41.pdf,System Performance,
9,Climate Optimal Trajectory Planning at Network-Scale: Complexity Assessment Based on Probabilistic Conflicts,"Fateme Baneshi, Manuel Soler, Abolfazl Simorgh, Daniel González-Arribas, Eduardo Andrés",8,/seminarContent/2022/papers/ICRAT2022_paper_8.pdf,Fuel / Emissions / Environment,
10,Estimating Fuel Consumption based on Trajectory Data using Machine Learning Method,"Zhuoming Du, Junfeng Zhang, Honglian Miao, Rong Hu",6,/seminarContent/2022/papers/ICRAT2022_paper_6.pdf,Fuel / Emissions / Environment,
