id,authors,title,paper,presentation_ext,presentation,Track,theme,best
3,"Calin Andrei Badea, Andres Morfin Veytia, Joost Ellerbroek and Jacco Hoekstra",Urban Wind Measurement and Modelling for U-space Operations,/seminarContent/2024/papers/ICRAT2024_paper_3.pdf,,,ICRAT2024,UAS/UAM/Space,*
5,"Gabriel Jarry, Daniel Delahaye, Eric Feron, Stephane Puechmorel and Christophe Hurter",Real Time Aircraft Atypical Approach Detection for Air Traffic Control,/seminarContent/2024/papers/ICRAT2024_paper_5.pdf,,,ICRAT2024,Safety and Complexity,
6,Fedja Netjasov,Decision Support System for Shift Managers based on finite state Markov chains,/seminarContent/2024/papers/ICRAT2024_paper_6.pdf,pptx,/seminarContent/2024/presentations/ICRAT2024_Presentation_6.pptx,ICRAT2024,Human Performance,
7,Casey Denham and William Cummings,Air Traffic Management Response to Vertiport Closure,/seminarContent/2024/papers/ICRAT2024_paper_7.pdf,pdf,/seminarContent/2024/presentations/ICRAT2024_Presentation_7.pdf,ICRAT2024,UAS/UAM/Space,
9,"Sinan Abdulhak, Anthony Carvette, Kate Shen, Robert Goldman, Bill Tuck and Max Li",User Feedback-Informed Interface Design for Flow Management Data and Services (FMDS),/seminarContent/2024/papers/ICRAT2024_paper_9.pdf,pptx,/seminarContent/2024/presentations/ICRAT2024_Presentation_9.pptx,ICRAT2024,Human Performance,
10,"Zhiqiang Liu, Jose Luis Muñoz Gamarra and Juan José Ramos Gonzalez",A Multi-Agent negotiation framework for planning conflict-free U-space scenarios,/seminarContent/2024/papers/ICRAT2024_paper_10.pdf,pptx,/seminarContent/2024/presentations/ICRAT2024_Presentation_10.pptx,ICRAT2024 DS,Doctoral Symposium,
11,"Xavier Olive, Manuel Waltert, Ryota Mori and Philippe Mouyon",Filtering Aircraft Surface Trajectories Using Information on the Taxiway Structure of Airports,/seminarContent/2024/papers/ICRAT2024_paper_11.pdf,pdf,/seminarContent/2024/presentations/ICRAT2024_Presentation_11.pdf,ICRAT2024,Trajectories and Networks,
12,Malte von der Burg and Alexei Sharpanskykh,Studying the Operational Consequences of Automated Engine-Off Taxiing using Multi-Agent Planning,/seminarContent/2024/papers/ICRAT2024_paper_12.pdf,,,ICRAT2024,Advanced Modeling,
13,"Gabriel Jarry, Daniel Delahaye and Christophe Hurter",Towards aircraft generic Quick Access Recorder fuel flow regression models for ADS-B data,/seminarContent/2024/papers/ICRAT2024_paper_13.pdf,,,ICRAT2024,"Economics, Environment, and Information",
14,"Rodolphe Fremond, Yan Xu, Antonios Tsourdos and Inalhan Gokhan",Urban Corridor-Based Tactical Conflict Resolution with Flight Plan Adherence and Uncertainty Resilience using a Multi-Agent Reinforcement Learning Solver,/seminarContent/2024/papers/ICRAT2024_paper_14.pdf,pptx,/seminarContent/2024/presentations/ICRAT2024_Presentation_14.pptx,ICRAT2024,Safety and Complexity,
15,"Maximilian Peukert, Lothar Meyer and Anna Lena Meyenburg",Time Matters: Exploring a Short Fatigue Measurement Method in Air Traffic Control,/seminarContent/2024/papers/ICRAT2024_paper_15.pdf,,,ICRAT2024,Human Performance,
17,"Haochen Wu, Kevin Sun, Jackson Miller, Oliver Jia-Richards and Max Li",Spaceport Facility Location Planning within the US National Airspace System,/seminarContent/2024/papers/ICRAT2024_paper_17.pdf,,,ICRAT2024,"Economics, Environment, and Information",
19,Chris Nguyen and Rhea Liem,A transformer-based encoder model for flight arrival sequencing,/seminarContent/2024/papers/ICRAT2024_paper_19.pdf,pdf,/seminarContent/2024/presentations/ICRAT2024_Presentation_19.pdf,ICRAT2024 DS,Doctoral Symposium,
20,"Wissam Chalabi, Alessandro Bombelli and Glen Purdam",The Aerial Firefighting Vehicle Routing Problem,/seminarContent/2024/papers/ICRAT2024_paper_20.pdf,,,ICRAT2024,Advanced Modeling,
23,Amine Heffar and Ramon Dalmau,A Universal Machine Learning Model for Better Runway Allocation Predictions,/seminarContent/2024/papers/ICRAT2024_paper_23.pdf,pptx,/seminarContent/2024/presentations/ICRAT2024_Presentation_23.pptx,ICRAT2024,Advanced Modeling,
25,Zarah Lea Zengerling and Volker Gollnick,Operational measures to mitigate the climate impact of aviation - A comparison,/seminarContent/2024/papers/ICRAT2024_paper_25.pdf,pdf,/seminarContent/2024/presentations/ICRAT2024_Presentation_25.pdf,ICRAT2024 DS,Doctoral Symposium,
26,Josue N. Rivera and Dengfeng Sun,Air Traffic Management for Collaborative Routing of Unmanned Aerial Vehicles via Potential Fields,/seminarContent/2024/papers/ICRAT2024_paper_26.pdf,pptx,/seminarContent/2024/presentations/ICRAT2024_Presentation_26.pptx,ICRAT2024,UAS/UAM/Space,
30,Maximilian Mendiguchia Meuser and Volker Gollnick,Climate impact driven adaptation of European airspace structure to support climate-optimized flight planning,/seminarContent/2024/papers/ICRAT2024_paper_30.pdf,pptx,/seminarContent/2024/presentations/ICRAT2024_Presentation_30.pptx,ICRAT2024 DS,Doctoral Symposium,
31,Alex Konkel,On the Potential Use of Synthetic Voices in Aviation: Comparison to Human Speech,/seminarContent/2024/papers/ICRAT2024_paper_31.pdf,pptx,/seminarContent/2024/presentations/ICRAT2024_Presentation_31.pptx,ICRAT2024,Human Performance,
32,"Yuting Xi, Man Liang, Alessandro Gardi and Roberto Sabatini",Real time tactical path planning for UAV in main corridor and byway corridor traffic structure,/seminarContent/2024/papers/ICRAT2024_paper_32.pdf,pptx,/seminarContent/2024/presentations/ICRAT2024_Presentation_32.pptx,ICRAT2024 DS,Doctoral Symposium,
33,"Haochen Wu, Xinting Zhu, Shuchang Li, Ying Zhou, Lishuai Li and Max Li",Distributionally Robust Ground Delay Programs with Learning-Driven Airport Capacity Predictions,/seminarContent/2024/papers/ICRAT2024_paper_33.pdf,,,ICRAT2024,System Performance,
34,"Muhammad Fazlur Rahman, Joost Ellerbroek and Jacco Hoekstra",Effect of CNS Systems Performance on Autonomous Separation in U-Space,/seminarContent/2024/papers/ICRAT2024_paper_34.pdf,pptx,/seminarContent/2024/presentations/ICRAT2024_Presentation_34.pptx,ICRAT2024 DS,Doctoral Symposium,
36,"Martina Galeazzo, Luigi De Giovanni, María Florencia Lema-Esposto and Guglielmo Lulli",An Integer Programming approach to Dynamic Airspace Configuration,/seminarContent/2024/papers/ICRAT2024_paper_36.pdf,pdf,/seminarContent/2024/presentations/ICRAT2024_Presentation_36.pdf,ICRAT2024,Trajectories and Networks,
37,"Yuk Shan Cheung, Peter van der Geest, Tom van Birgelen and Jinyoung Choi",Safety Targets for Urban Air Mobility Vehicles - From a perspective of Third Party Risk due to UAM operations in the Netherlands,/seminarContent/2024/papers/ICRAT2024_paper_37.pdf,,,ICRAT2024,UAS/UAM/Space,
38,"Kim Gaume, Richard Alligier, Nicolas Durand, David Gianazza and Xavier Olive",Extracting Lateral Deconfliction Actions from Historical ADS-B data with Median Regression,/seminarContent/2024/papers/ICRAT2024_paper_38.pdf,pdf,/seminarContent/2024/presentations/ICRAT2024_Presentation_38.pdf,ICRAT2024,Safety and Complexity,*
39,"Sergen Dag, Alejandro Murrieta-Mendoza, Kian Tan and Stefan Froehlich",Accelerating UCO Sequence Validation in iCAS ATM System with Dynamic Flight Profiles,/seminarContent/2024/papers/ICRAT2024_paper_39.pdf,,,ICRAT2024,Human Performance,
40,"Justin Poh, Nancy Leveson and Natasha Neogi",A Safety-Driven Approach to Exploring and Comparing Air Traffic Management Concepts for Enabling Urban Air Mobility,/seminarContent/2024/papers/ICRAT2024_paper_40.pdf,pptx,/seminarContent/2024/presentations/ICRAT2024_Presentation_40.pptx,ICRAT2024,UAS/UAM/Space,
41,"Marvin Mutz, Gunnar von Oesen, Florian Hasse, Dagh Zeppenfeld and Sebastian Schier-Morgenthal",“How do you read?” – Dynamics of future human-automation teams in air traffic control,/seminarContent/2024/papers/ICRAT2024_paper_41.pdf,pdf,/seminarContent/2024/presentations/ICRAT2024_Presentation_41.pdf,ICRAT2024,Human Performance,
42,"Yuhan Jiang, Luigi De Giovanni, Carlo Lancia and Guglielmo Lulli",An analysis of trajectory centered ATFM with airspace users’ preference scores,/seminarContent/2024/papers/ICRAT2024_paper_42.pdf,pptx,/seminarContent/2024/presentations/ICRAT2024_Presentation_42.pptx,ICRAT2024,System Performance,
