,title,authors,paper,best,theme
0,A Diffusion Approximation to a Single Airport Queue,David Lovell and Kleoniki Vlachou,/icrat/seminarContent/pdf/A Diffusion Approximation to a Single Airport Queue.pdf,,Advanced Modeling
1,Analyzing and Decomposing Taxi Times and Predicting Taxi out Times,"Yu Zhang, Arjun Chauhan and Xing Chen",/icrat/seminarContent/pdf/Analyzing and Decomposing Taxi Times.pdf,,Advanced Modeling
2,Applying Economy-wide Modeling to NextGen Benefits Analysis,"Dr. Katherine Harback, Dr. Leonard Wojcik, Jr, Dr. Michael B. Callaham, Dr. Shane Martin, Simon Tsao, and Jon Drexler",/icrat/seminarContent/pdf/Applying Economy-wide Modeling to NextGen Benefits Analysis.pdf,,Advanced Modeling
3,Data Driven Modeling for the Simulation of Converging Runway Operations,Adric Eckstein,/icrat/seminarContent/pdf/Data Driven Modeling.pdf,,Advanced Modeling
4,Fair Slot Allocation of Airspace Resources Based on Dual Values for Slots,Nasim Vakili Pourtaklo and Michael Ball,/icrat/seminarContent/pdf/Fair Slot Allocation of Airspace Resources.pdf,,Advanced Modeling
5,Game Equilibrium Analysis on an Auctioning Method for Airport Congesting Resource Allocation,Liu Fangqin and Hu Minghua,/icrat/seminarContent/pdf/GAME EQUILIBRIUM ANALYSIS.pdf,,Advanced Modeling
6,Impact of Lightning Strikes on National Airspace System (NAS) Outages,Aurelien Vidal and Jasenka Rakas,/icrat/seminarContent/pdf/Impact of Lightning Strikes.pdf,,Advanced Modeling
7,Ontology and Rules for International Airspace Security,Renato D.Henriques,/icrat/seminarContent/pdf/Ontology and Rules for International Airspace.pdf,,Advanced Modeling
8,Optimal Route Decision with Weather Risk Hedging using a Geometric Model,"Yoonjin Yoon, Mark Hansen and Michael O.Ball",/icrat/seminarContent/pdf/Optimal Route Decision.pdf,,Advanced Modeling
9,Queueing Models for Operations in NextGen,Tasos Nikoleris and Mark Hansen,/icrat/seminarContent/pdf/Queueing Models for Operations in NextGen.pdf,,Advanced Modeling
10,A TMA 4DT CD/CR causal model based in path shortening/path stretching techniques,"Zuniga C.A., Piera M.A.and Ruiz S",/icrat/seminarContent/pdf/TMA 4DT.pdf,*,Advanced Modeling
11,Tracking Failures in the Air Traffic System: A model Based on Physical and Functional Decompositions,"Maxime Gariel, Erwan Salaun, and Eric Feron",/icrat/seminarContent/pdf/Tracking Failures in the Air Traffic System.pdf,,Advanced Modeling
12,Estimating Domestic U.S. Airline Cost of Delay based on European Model,"Abdul Qadar Kara, John Ferguson, Karla Hoffman and Lance Sherry",/icrat/seminarContent/pdf/Estimating Domestic US Airline.pdf,*,Airline Operations and Marketing
13,The responses of traditional airlines to low cost airlines,Panarat Srisaeng,/icrat/seminarContent/pdf/responses of traditional airlines.pdf,,Airline Operations and Marketing
14,Airport Ground Access and Egress Passenger Flow    Model (AGAP),"Dr. Milan Stefanik, Dr. Benedikt Badanik and Martin Matas",/icrat/seminarContent/pdf/Airport Ground Access.pdf,,Airport Design and Operations
15,The airport ground movement problem: past and current research and future directions,"Jason A. D. Atkin, Edmund K. Burke, Stefan Ravizza",/icrat/seminarContent/pdf/airport ground movement.pdf,,Airport Design and Operations
16,Door-to-Gate Air Passenger Flow Model,"Martin Matas, Milan Stefanik, PhD and Sandra Krollova, PhD",/icrat/seminarContent/pdf/Door-to-Gate Air Passenger.pdf,,Airport Design and Operationsg
17,Iterative Planning of Airport Ground Movements,Charles Lesire,/icrat/seminarContent/pdf/Iterative Planning.pdf,,Airport Design and Operations
18,Modeling of Aircraft Surface Traffic Flow at Congested Airport Using Cellular Automata,Ryota Mori,/icrat/seminarContent/pdf/Modeling of Aircraft Surface Traffic.pdf,,Airport Design and Operations
19,Operational Evaluation of an Airport Centered Flow Management,"Eike Rehwald, Peter Hecker and Rainer Kaufhold",/icrat/seminarContent/pdf/Operational Evaluation.pdf,,Airport Design and Operations
20,Potential of Dynamic Aircraft to Runway Allocation for Parallel Runways,"Martin Fritzsche, Thomas GÃ¼nther and Hartmut Fricke",/icrat/seminarContent/pdf/Potential of Dynamic Aircraft.pdf,*,Airport Design and Operations
21,The Air Traffic Flow Management Problem with Time Windows,"Luca Corolli, Lorenzo Castelli and Guglielmo Lulli",/icrat/seminarContent/pdf/Air Traffic Flow Management.pdf,,CNSATM
22,An Analysis of Delays in Air Transport in Japan,Kota Kageyama and Yutaka Fukuda,/icrat/seminarContent/pdf/Analysis of Delays.pdf,,CNSATM
23,Study on Conflict Detection Method with Downlink Aircraft Parameters,Atsushi Senoguchi and Yutaka Fukuda,/icrat/seminarContent/pdf/Conflict Detection Method.pdf,,CNSATM
24,En Route Air Traffic Control Input Devices for the Next Generation,Matthew J. Mainini,/icrat/seminarContent/pdf/En Route Air Traffic Control.pdf,,CNSATM
25,Enhanced Wind Magnitude and Bearing Prediction,"Petr Krupansky, Tomas Neuzil, Eva Gelnarova, Jiri Svoboda, Petr MejzlÃ­k and Martin Herodes",/icrat/seminarContent/pdf/Enhanced Wind Magnitude.pdf,,CNSATM
26,Flight Profile Variations due to the Spreading Practice of Cost Index Based Flight Planning,"Wilhelm Rumler, Thomas Gunther, Hartmut Fricke and Urban WeiÃŸhaar",/icrat/seminarContent/pdf/Flight Profile Variations.pdf,*,CNSATM
27,A new method for generating optimal conflict free 4D trajectory,"Nour Dougui, Daniel Delahaye, Stephane Puechmorel and Marcel Mongeau",/icrat/seminarContent/pdf/optimal conflict free.pdf,,CNSATM
28,Radar cross section generation of the possible noncooperative targets,Rudolf Palme,/icrat/seminarContent/pdf/Radar cross section generation.pdf,,CNSATM
29,Resource Allocation in Flow-Constrained Areas with Stochastic Termination Times And Deterministic Movement,"Moein Ganji, David J. Lovell and Michael O. Ball",/icrat/seminarContent/pdf/Resource Allocation in Flow-Constrained Areas.pdf,,CNSATM
30,Stochastic Integer Programming Models for Ground Delay Programs with Weather Uncertainty,Charles N. Glover and Michael O. Ball,/icrat/seminarContent/pdf/Stochastic Integer Programming.pdf,,CNSATM
31,"ANALYSIS OF ""TARMAC DELAYS"" AT PHILADELPHIA AIRPORT",Maricel Medina and Lance Sherry,/icrat/seminarContent/pdf/TARMAC DELAYS.pdf,,CNSATM
32,Trajectory Prediction by Functional Regression in Sobolev Space,"K. Tastambekov, S. Puechmorel, D. Delahaye, C. Rabut",/icrat/seminarContent/pdf/Trajectory Prediction.pdf,,CNSATM
33,An advanced particle filtering algorithm for improving conflict detection in Air Traffic Control,"Ioannis Lymperopoulos, Georgios Chaloulos and John Lygeros",/icrat/seminarContent/pdf/advanced particle filtering algorithm.pdf,*,Decision Support Tools
34,A Stochastic Model for Air Traffic Control Radio Channel Utilization,"Vlad Popescu, Henri Augris and Karen Feigh",/icrat/seminarContent/pdf/Stochastic Model.pdf,,Decision Support Tools
