title,authors,journal,paper,presentation,theme,best
Object Tracking in Images of an Airborne Wide Angle FMCW Radar,"Jerom Maas, Ronald van Gent and Jacco Hoekstra",,/seminarContent/2018/papers/ICRAT_2018_paper_13.pdf,/seminarContent/2018/presentations/ICRAT_2018_Presentation_13.pdf,Advanced Modeling,
Aircraft Mass and Thrust Estimation Using Recursive Bayesian Method,"Junzi Sun, Henk A.P. Blom, Joost Ellerbroek and Jacco Hoekstra",,/seminarContent/2018/papers/ICRAT_2018_paper_19.pdf,/seminarContent/2018/presentations/ICRAT_2018_Presentation_19.pdf,Advanced Modeling,
Predicting Sector Configuration Transitions with Autoencoder-based Anomaly Detection,Thomas Dubot,,/seminarContent/2018/papers/ICRAT_2018_paper_23.pdf,/seminarContent/2018/presentations/ICRAT_2018_Presentation_23.pdf,Complexity and Information,
Assessment of Air Traffic Control for Urban Air Mobility and Unmanned Systems,"Parker Vascik, Hamsa Balakrishnan and R. John Hansman",,/seminarContent/2018/papers/ICRAT_2018_paper_26.pdf,/seminarContent/2018/presentations/ICRAT_2018_Presentation_26.pdf,Advanced Modeling,
A Multi-Layer Artificial Neural Network Approach for Runway Configuration Prediction,"Md Shohel Ahmed, Sameer Alam and Michael Barlow",,/seminarContent/2018/papers/ICRAT_2018_paper_43.pdf,/seminarContent/2018/presentations/ICRAT_2018_Presentation_43.pdf,Advanced Modeling,
Formal Modeling of Air Traffic as System-of-Systems: Air Traffic as Systems of Interdependent Operational Decision Making Processes,Alexander Gillissen and Michael Schultz,,/seminarContent/2018/papers/ICRAT_2018_paper_52.pdf,/seminarContent/2018/presentations/ICRAT_2018_Presentation_52.pdf,Advanced Modeling,
Performance Analysis of a LiDAR System for Comprehensive Airport Ground Surveillance under Varying Weather and Lighting Conditions,"Johannes Mund, Alexander Zouhar and Hartmut Fricke",,/seminarContent/2018/papers/ICRAT_2018_paper_80.pdf,/seminarContent/2018/presentations/ICRAT_2018_Presentation_80.pdf,Advanced Modeling,
Prediction of Passenger Boarding Process using Neural Network Approach,Michael Schultz and Stefan Reitmann,,/seminarContent/2018/papers/ICRAT_2018_paper_92.pdf,/seminarContent/2018/presentations/ICRAT_2018_Presentation_92.pdf,Advanced Modeling,*
Geovectoring: Reducing Traffic Complexity to Increase the Capacity of UAV airspace,"Jacco Hoekstra, Joost Ellerbroek, Emmanuel Sunil and Jerom Maas",,/seminarContent/2018/papers/ICRAT_2018_paper_28.pdf,,Complexity and Information,
Relative Trajectory Cost Estimation for CTOP Applications Using Multivariate Nonparametric Finite Mixture Logit,Ivan Tereshchenko and Mark Hansen,CEAS Aeronautical Journal,https://doi.org/10.1007/s13272-020-00442-1,,Complexity and Information,*
Ontology-Based Approach for Human Competency Gap Analysis in Air Traffic Management. A Case Study of Georgia,Nika Tkanashvili and Igor Kabashkin,,/seminarContent/2018/papers/ICRAT_2018_paper_7.pdf,/seminarContent/2018/presentations/ICRAT_2018_Presentation_7.pdf,Doctoral Paper,
Egg-shaped conflict envelopes with Fuzzy logic for airspace Collision Risk Modelling,Hee Wei Gary Foo and Zhao-Wei Zhong,,/seminarContent/2018/papers/ICRAT_2018_paper_15.pdf,/seminarContent/2018/presentations/ICRAT_2018_Presentation_15.pdf,Doctoral Paper,
Terminal Airspace Anomaly Detection Using Temporal Logic Learning,Kwangyeon Kim and Inseok Hwang,,/seminarContent/2018/papers/ICRAT_2018_paper_39.pdf,/seminarContent/2018/presentations/ICRAT_2018_Presentation_39.pdf,Doctoral Paper,
Conceptual Design of a Speed Command Algorithm for Airborne Spacing Interval Management,"Timo Riedel, Masaki Takahashi and Eri Itoh",,/seminarContent/2018/papers/ICRAT_2018_paper_48.pdf,,Doctoral Paper,
Detection of individual anomalous arrival trajectories within the terminal airspace using persistent homology,Max Li and Megan Ryerson,,/seminarContent/2018/papers/ICRAT_2018_paper_49.pdf,/seminarContent/2018/presentations/ICRAT_2018_Presentation_49.pdf,Doctoral Paper,
E-service quality performance measurement in airlines: An application on scheduled airlines in Turkey,Mahmut Bakir and Özlem Atalik,,/seminarContent/2018/papers/ICRAT_2018_paper_50.pdf,/seminarContent/2018/presentations/ICRAT_2018_Presentation_50.pdf,Doctoral Paper,
Increasing the Resilience of ATC systems against False Data Injection Attacks using DSL-based Testing,"Aymeric Cretin, Bruno Legeard, Fabien Peureux and Alexandre Vernotte",,/seminarContent/2018/papers/ICRAT_2018_paper_51.pdf,/seminarContent/2018/presentations/ICRAT_2018_Presentation_51.pdf,Doctoral Paper,
The airline brand personality in the context of neuromarketing: FSC versus LCC,Sahap Akan and Özlem Atalik,,/seminarContent/2018/papers/ICRAT_2018_paper_55.pdf,/seminarContent/2018/presentations/ICRAT_2018_Presentation_55.pdf,Doctoral Paper,
Assessing the airspace availability for sUAV operations in urban environments: A topological approach using keep-in and keep-out geofence,Jungwoo Cho and Yoonjin Yoon,,/seminarContent/2018/papers/ICRAT_2018_paper_59.pdf,/seminarContent/2018/presentations/ICRAT_2018_Presentation_59.pdf,Doctoral Paper,
Flight Data Handling with Augmented Reality,Hejar Gürlük,,/seminarContent/2018/papers/ICRAT_2018_paper_78.pdf,/seminarContent/2018/presentations/ICRAT_2018_Presentation_78.pdf,Doctoral Paper,
Valuation of Public Guarantees with PM Real Option: New Istanbul Airport Example,Emrah Durmaz and Ünal Battal,,/seminarContent/2018/papers/ICRAT_2018_paper_86.pdf,/seminarContent/2018/presentations/ICRAT_2018_Presentation_86.pdf,Doctoral Paper,
Airport ground traffic optimisation,Hamza Taheri and Abdelouahid Lyhyaoui,,/seminarContent/2018/papers/ICRAT_2018_paper_90.pdf,/seminarContent/2018/presentations/ICRAT_2018_Presentation_90.pdf,Doctoral Paper,
Merging Flows and Optimizing Aircraft Scheduling in Terminal Maneuvering Area Based on GA,"Akinori Murata, Daniel Delahaye and Keiki Takadama",,/seminarContent/2018/papers/ICRAT_2018_paper_98.pdf,/seminarContent/2018/presentations/ICRAT_2018_Presentation_98.pdf,Doctoral Paper,
Inadequate Post Simulation Debriefings in Air Traffic Control and Pilot Training,Shawn Pruchnicki and David Woods,,/seminarContent/2018/papers/ICRAT_2018_paper_107.pdf,/seminarContent/2018/presentations/ICRAT_2018_Presentation_107.pdf,Doctoral Paper,
Predicting a Dramatic Contraction in the 10-Year Passenger Demand,Daniel Suh,,/seminarContent/2018/papers/ICRAT_2018_paper_21.pdf,/seminarContent/2018/presentations/ICRAT_2018_Presentation_21.pdf,Economics and Policy,
Analyzing Door to Door Travel Times Through Mobile Phone Data,"Pedro García-Albertos, Oliva G. Cantú Ros and Ricardo Herranz",CEAS Aeronautical Journal,https://doi.org/10.1007/s13272-019-00432-y,/seminarContent/2018/presentations/ICRAT_2018_Presentation_64.pdf,Economics and Policy,*
Estimation of Aircraft Fuel Consumption Based on Air Traffic 4D Trajectory Data,"Fei Liu, Nanjian Zhuang, Qiang Ren and Zhiqiang Wei",,/seminarContent/2018/papers/ICRAT_2018_paper_4.pdf,/seminarContent/2018/presentations/ICRAT_2018_Presentation_4.pdf,Fuel and Emissions,
Estimating Fuel Consumption from Radar Tracks: A Validation Exercise using FDR Data from Descent Trajectories,"Ramon Dalmau, Alex Ramonjoan, Xavier Prats and Santiago Soley",CEAS Aeronautical Journal,https://doi.org/10.1007/s13272-020-00441-2,,Fuel and Emissions,
Quantification of WAFS Weather Forecast Uncertainties and its Effect on Fuel Burn using Historical Flight Data,"Agnes Tang, Cheng-Lung Wu and David Tan",,/seminarContent/2018/papers/ICRAT_2018_paper_40.pdf,/seminarContent/2018/presentations/ICRAT_2018_Presentation_40.pdf,Fuel and Emissions,
Verification of the Ozone Algorithmic Climate Change Functions for Predicting the Short-term NOx Effects from Aviation En-route,"Feijia Yin, Volker Grewe, Jesper van Manen, Sigrun Matthes, Hiroshi Yamashita, Florian Linke and Benjamin Lührs",,/seminarContent/2018/papers/ICRAT_2018_paper_57.pdf,/seminarContent/2018/presentations/ICRAT_2018_Presentation_57.pdf,Fuel and Emissions,*
Fuel and Emission Benefits for Continuous Descent Approaches at Schiphol,"Joost Ellerbroek, Mazin Inaad and Jacco Hoekstra",,/seminarContent/2018/papers/ICRAT_2018_paper_91.pdf,,Fuel and Emissions,
Research on Civil Aircraft Fuel Consumption in Cruise Phase Based on Least Square Support Vector Regression with Genetic Algorithm,Shuli Gong,,/seminarContent/2018/papers/ICRAT_2018_paper_106.pdf,/seminarContent/2018/presentations/ICRAT_2018_Presentation_106.pdf,Fuel and Emissions,
Quantitative Prediction of Automation Effects on ATCo Human Performance,"Eva María Puntero Parla, Patricia Lopez de Frutos, Elena Lopez Ballestin, Jose Cañas, Pedro Ferreira, Victor Fernando Gómez and Francesca Lucchi",,/seminarContent/2018/papers/ICRAT_2018_paper_36.pdf,/seminarContent/2018/presentations/ICRAT_2018_Presentation_36.pdf,Human Performance ,
Analyzing Pilot Decision-Making Using Predictive Modeling,Somil Shah and Angela Campbell,,/seminarContent/2018/papers/ICRAT_2018_paper_87.pdf,/seminarContent/2018/presentations/ICRAT_2018_Presentation_87.pdf,Human Performance ,
A Machine Learning Approach on Past ADS-B Data to Predict Planning Controller’s Actions,"Duc-Thinh Pham, Sameer Alam, Su Yi-Lin and Vu Duong",,/seminarContent/2018/papers/ICRAT_2018_paper_102.pdf,/seminarContent/2018/presentations/ICRAT_2018_Presentation_102.pdf,Human Performance ,*
Selecting Parameters in Performance - Based Ground Delay Program Planning,"Alexander Estes, David Lovell and Michael Ball",,/seminarContent/2018/papers/ICRAT_2018_paper_12.pdf,/seminarContent/2018/presentations/ICRAT_2018_Presentation_12.pdf,Network Management ,*
New Insights on Nonlinear Delay Causation Network for Passengers and Flights in Europe,Seddik Belkoura and Samuel Cristóbal,,/seminarContent/2018/papers/ICRAT_2018_paper_58.pdf,/seminarContent/2018/presentations/ICRAT_2018_Presentation_58.pdf,Network Management ,
Local TBS Delay Reduction Effect on Global Network Operations,"Goce Nikolovski, Vincent Treve and Floris Herrema",,/seminarContent/2018/papers/ICRAT_2018_paper_94.pdf,/seminarContent/2018/presentations/ICRAT_2018_Presentation_94.pdf,Network Management ,
Alternative Trajectory Options for  Delay Reduction in Demand and Capacity Balancing,"Yan Xu, Ramon Dalmau, Marc Melgosa, Adeline Montlaur and Xavier Prats",,/seminarContent/2018/papers/ICRAT_2018_paper_96.pdf,/seminarContent/2018/presentations/ICRAT_2018_Presentation_96.pdf,Network Management ,
Analysing the Decision Rules for a Ground Delay Program: Mexican Airport Network,Miguel Antonio Mujica and Rodrigo Romero Silva,,/seminarContent/2018/papers/ICRAT_2018_paper_99.pdf,/seminarContent/2018/presentations/ICRAT_2018_Presentation_99.pdf,Network Management ,
Efficient Conflict Detection for Conflict Resolution,"Richard Alligier, Nicolas Durand and Gregory Alligier",,/seminarContent/2018/papers/ICRAT_2018_paper_10.pdf,/seminarContent/2018/presentations/ICRAT_2018_Presentation_10.pdf,Safety,
Quantitative Assessments of Runway Excursion Precursors using Mode S Data,Xavier Olive and Pierre Bieber,,/seminarContent/2018/papers/ICRAT_2018_paper_25.pdf,/seminarContent/2018/presentations/ICRAT_2018_Presentation_25.pdf,Safety,*
Probabilistic Aircraft Conflict Detection in the Terminal Maneuvering Area,"Eulalia Hernández-Romero, Alfonso Valenzuela, Damián Rivas, Matthias Steiner and James Pinto",,/seminarContent/2018/papers/ICRAT_2018_paper_33.pdf,/seminarContent/2018/presentations/ICRAT_2018_Presentation_33.pdf,Safety ,
An Introduction to Fast Time Simulations for RPAS Collision Avoidance System Evaluation,Guido Manfredi and Yannick Jestin,,/seminarContent/2018/papers/ICRAT_2018_paper_34.pdf,/seminarContent/2018/presentations/ICRAT_2018_Presentation_34.pdf,Safety,
Using Agent-Based Modeling to Determine Collision Risk in Complex TMA Environments. The Turn-Onto-ILS-Final Safety Case,"Hartmut Fricke, Stanley Foerster and Markus Vogel",,/seminarContent/2018/papers/ICRAT_2018_paper_63.pdf,/seminarContent/2018/presentations/ICRAT_2018_Presentation_63.pdf,Safety,
Analyzing the Effect of Traffic Scenario Properties on Conflict Count Models,"Emmanuel Sunil, Ólafur Þórðarson, Joost Ellerbroek and Jacco Hoekstra",,/seminarContent/2018/papers/ICRAT_2018_paper_66.pdf,/seminarContent/2018/presentations/ICRAT_2018_Presentation_66.pdf,Safety,
Sensitivity Analysis of Closest Point of Approach,"Ying Huo, Daniel Delahaye and Yanjun Wang",,/seminarContent/2018/papers/ICRAT_2018_paper_79.pdf,/seminarContent/2018/presentations/ICRAT_2018_Presentation_79.pdf,Safety ,
Potential Safety Occurences as Indicators of Air Traffic Management Safety Performances: A Network Based Simulation Model,Fedja Netjasov and Dusan Crnogorac,,/seminarContent/2018/papers/ICRAT_2018_paper_18.pdf,/seminarContent/2018/presentations/ICRAT_2018_Presentation_18.pdf,Safety  ,
A Probabilistic Model for Precedence Rules and Reactionary Delay in Air Traffic Management,"Florentin Goyens, François Gonze, Raphaël M. Jungers, Andrea Simonetto, Etienne Huens and Jean Boucquey",,/seminarContent/2018/papers/ICRAT_2018_paper_11.pdf,/seminarContent/2018/presentations/ICRAT_2018_Presentation_11.pdf,System Performance ,*
Novel Terminal Arrival Airspace Robustness Metrics via Topological Density Clustering,Max Li and Megan Ryerson,,/seminarContent/2018/papers/ICRAT_2018_paper_38.pdf,/seminarContent/2018/presentations/ICRAT_2018_Presentation_38.pdf,System Performance ,
Comparing Scheduled Block Time Setting in Europe and China based on Multiple Linear Regression,"Wei Dai, Rainer Koelle, Lingling Ma and Yifei Zhao",,/seminarContent/2018/papers/ICRAT_2018_paper_42.pdf,/seminarContent/2018/presentations/ICRAT_2018_Presentation_42.pdf,System Performance ,
In Search of the Upper Limit to Air Traffic Control Communication,"Lu Dai, Yulin Liu and Mark Hansen",,/seminarContent/2018/papers/ICRAT_2018_paper_46.pdf,/seminarContent/2018/presentations/ICRAT_2018_Presentation_46.pdf,System Performance ,
CAMDA: Capacity Assessment Method for Decentralized Air Traffic Control,"Emmanuel Sunil, Joost Ellerbroek and Jacco Hoekstra",,/seminarContent/2018/papers/ICRAT_2018_paper_65.pdf,/seminarContent/2018/presentations/ICRAT_2018_Presentation_65.pdf,System Performance ,
Measuring the Benefits of NextGen Metroplex in Convective Weather: Case Study of North Texas Metroplex,"Yu Zhang, Hualong Tang, Dave Knorr and Almira Ramadani",,/seminarContent/2018/papers/ICRAT_2018_paper_95.pdf,,System Performance ,
Trajectory Optimization in Daily Operations,"Judith Rosenow, David Strunck and Hartmut Fricke",CEAS Aeronautical Journal,https://doi.org/10.1007/s13272-019-00429-7,/seminarContent/2018/presentations/ICRAT_2018_Presentation_30.pdf,Trajectory Optimization,
Operational validation of the OPTAIN-SA Tool. Supporting optimized profile descent approach sequencing into Palma TMA,"Peter Lubrani, Miguel Angel Pérez Lorenzo, Alexander Dorta Fumero and Manuel Villegas Díaz",,/seminarContent/2018/papers/ICRAT_2018_paper_41.pdf,/seminarContent/2018/presentations/ICRAT_2018_Presentation_41.pdf,Trajectory Optimization,
A Fast and Flexible Aircraft Trajectory Predictor and Optimiser for ATM Research Applications,"Ramon Dalmau, Marc Melgosa, Santi Vilardaga and Xavier Prats",,/seminarContent/2018/papers/ICRAT_2018_paper_53.pdf,/seminarContent/2018/presentations/ICRAT_2018_Presentation_53.pdf,Trajectory Optimization,
Dynamically Optimized Aircraft Trajectories Affecting the Air Traffic Management,"Martin Lindner, Judith Rosenow and Hartmut Fricke",CEAS Aeronautical Journal,https://doi.org/10.1007/s13272-019-00430-0,,Trajectory Optimization,
Aggregate Multi-commodity Stochastic Models for Collaborative Trajectory Options Program (CTOP),"Guodong Zhu, Peng Wei, Robert Hoffman and Bert Hackney",,/seminarContent/2018/papers/ICRAT_2018_paper_70.pdf,/seminarContent/2018/presentations/ICRAT_2018_Presentation_70.pdf,Trajectory Optimization,
