title,authors,abstracts_file,best,video,paper,presentation,track
Investigation of Relationship Between Trust in Automation and Human Personality Traits Among Air Traffic Controllers,"Doroteja Timotic, Fedja Netjasov and Svetlana Cicevic",/seminarContent/2020/abstracts/ICRAT_2020_Abstract_11.pdf,,,/seminarContent/2020/papers/ICRAT2020_paper_11.pdf,,Human Performance 
Solution Space Design for Continuous Descent Operations under Prediction Uncertainties,"Shumpei Kamo, Judith Rosenow and Hartmut Fricke",/seminarContent/2020/abstracts/ICRAT_2020_Abstract_44.pdf,,,,,Decision Support 
Predicting the Propagation of Trajectory Uncertainty during Climb,"Thomas Zeh, Judith Rosenow, Hartmut Fricke, and Richard Alligier",/seminarContent/2020/abstracts/ICRAT_2020_Abstract_62.pdf,,,,,Decision Support 
Deep Trajectory Clustering with Autoencoders,"Xavier Olive, Luis Basora, Benoît Viry and Richard Alligier",/seminarContent/2020/abstracts/ICRAT_2020_Abstract_2.pdf,,,/seminarContent/2020/papers/ICRAT2020_paper_2.pdf,,System Performance  
What’s the Relationship Between Aircraft Taxi Speed and its Pollutant Emissions?,"Lijun Zheng, Rong Hu, Junfeng Zhang and Jialin Zhu",/seminarContent/2020/abstracts/ICRAT_2020_Abstract_6.pdf,,,/seminarContent/2020/papers/ICRAT2020_paper_6.pdf,,System Performance  
A Collision Risk Assessment Method for Runway Threshold Management: A Case Study of Singapore Changi Airport,"Haojie Ang, Qing Cai and Sameer Alam",/seminarContent/2020/abstracts/ICRAT_2020_Abstract_8.pdf,,,,,System Performance  
Identification of Significant Impact Factors on Arrival Flight Efficiency within TMA,"Anastasia Lemetti, Tatiana Polishchuk, Valentin Polishchuk, Raúl Sáez and Xavier Prats",/seminarContent/2020/abstracts/ICRAT_2020_Abstract_18.pdf,,,/seminarContent/2020/papers/ICRAT2020_paper_18.pdf,,System Performance  
Capacity Management based on the Integration of Dynamic Airspace Configuration and Flight Centric ATC solutions using Complexity,"Marc Melgosa, Leïla Zerrouki, Predrag Terzioski, Pol Olivella and Andrija Vidosavljevic",/seminarContent/2020/abstracts/ICRAT_2020_Abstract_28.pdf,,,/seminarContent/2020/papers/ICRAT2020_paper_28.pdf,,System Performance  
Validation of Controller Workload Predictors at Conventional and Remote Towers,"Billy Josefsson, Lothar Meyer, Maximilian Peukert, Tatiana Polishchuk and
Christiane Schmidt",/seminarContent/2020/abstracts/ICRAT_2020_Abstract_33.pdf,*,https://youtu.be/fOpUgmaHaPw,,,System Performance  
Predicting Aircraft Landing Time in Extended-TMA using Machine Learning Methods,"Imen Dhief, Zhengyi Wang, Man Liang, Sameer Alam, Michael Schultz and Daniel Delahaye",/seminarContent/2020/abstracts/ICRAT_2020_Abstract_34.pdf,,,/seminarContent/2020/papers/ICRAT2020_paper_34.pdf,,System Performance  
Trajectory Clustering of Inbound Aircraft based on Feature Representation and Selection,"Zihan Peng, Junfeng Zhang, Xuhao Gui, Rong Hu and Dong Sui",/seminarContent/2020/abstracts/ICRAT_2020_Abstract_36.pdf,,,/seminarContent/2020/papers/ICRAT2020_paper_36.pdf,,System Performance  
